"Id","Name","Caption","RolePermissionModuleId","Priority","Description","Type","NavigationKey","ParentId"
"CB4A6571-9A1E-4415-A71A-087E18FB7E2C","Update Strategic Objectives","so.update","FA0642B4-F968-4AAD-810F-03CB3919DF46","2","","2","",""
"29230A0B-2F4E-4FFE-AED2-08B30C532BBA","Update All Project Folder","projectfolder.update.all","54F9A13C-9EBC-41F7-81B5-F76B265495AA","2","","2","","EA2BB829-3808-4121-A49B-9648D86D7B32"
"B2EA5240-4F67-47D0-A08E-09589880291D","Read Expense","expense.read","00B9ADED-3088-4193-8378-4F954EA5C0E5","4","","4","time-entry-new,time-entry",""
"E2C4D261-024E-43AC-8A46-0E99047138BA","Delete User","user.delete","E3496268-4D68-4FBB-93E6-A4B0511C1238","3","","3","",""
"83B4A35F-C8CB-4861-BC9F-0FA69BB574D2","Update User","user.update","E3496268-4D68-4FBB-93E6-A4B0511C1238","2","","2","users",""
"9FED01A0-73D2-4B1C-8813-0FAB490475D2","Read Strategic Objectives","so.read","FA0642B4-F968-4AAD-810F-03CB3919DF46","4","","4","strategic-objective;strategic-objective,view",""
"3DA1E5E2-EC07-4A5F-909D-11CC24104BF7","Expense","expense.read.report","57241F67-E4BC-4E6F-98AD-33E1CB8D7365","5","","4","",""
"625D0312-2E3B-46EF-8AD7-132B23841900","Convert Project Type","project.convert","07601893-B13B-4FEC-8D7D-B353C2FE3FEA","6","","2","",""
"4EEA46BA-1A79-4103-A8A6-19C87199DF08","System Lock","systemlock","4F2920B1-D03C-49A8-9E9A-E0BF56143062","1","","4","system-lock",""
"848A7D5D-F7F4-4B9F-88E9-1DA8D5DFE138","Delete Time Entry","te.delete","0688C001-6554-46CA-BECD-C57964F87CCF","3","","3","",""
"6E204CEF-2400-43A8-B3CD-1EAA065D06D4","Read Timeentry Performance Report of User","te.read.user.report","57241F67-E4BC-4E6F-98AD-33E1CB8D7365","10","","4","reports;reports,user-time-entry-report",""
"EAE1BA01-832F-458E-8544-235C0559A898","Create Account","account.create","F30928C2-7785-4DE1-B1EA-EBCE12F20BFE","1","","1","",""
"3A1C528D-1203-4DB1-9DAB-2933028CB130","Read All Users","user.read.all","E3496268-4D68-4FBB-93E6-A4B0511C1238","6","","4","users","93378FCB-CA80-4E03-8DB3-C95C437D2295"
"5C2FA2AE-B4C8-462A-9E16-2A37A9D07FE3","Send Email Confirmation","user.send.emailconfirmation","E3496268-4D68-4FBB-93E6-A4B0511C1238","9","","4","users",""
"E6DC03FC-2424-45C9-8189-2AE52070F35A","Update Account Status","account.update.status","F30928C2-7785-4DE1-B1EA-EBCE12F20BFE","2","","2","account,manage;account,engagement","92183E26-53CE-4F6B-8AE1-8144C18DE751"
"F40EC6BE-1A13-4F4C-B38D-2BB4B5533F5A","Create User","user.create","E3496268-4D68-4FBB-93E6-A4B0511C1238","1","","1","users",""
"F573704E-C76F-4240-A3CD-2F6F3E81016A","Notification","notification","1CF1F363-A8EB-4403-A98D-BA8E5A0D2605","1","","4","notification",""
"D7F9C8D3-78BA-4375-8A63-309029972E66","Delete Account","account.delete","F30928C2-7785-4DE1-B1EA-EBCE12F20BFE","5","","3","",""
"21F058BF-944E-4E20-8CE0-325B2171837E","Assign to Any User","project.assign.all","07601893-B13B-4FEC-8D7D-B353C2FE3FEA","10","","2","","105891C8-B8F1-4DB4-AC3D-54146A99208E"
"472809BE-8A7C-4B3F-AE6E-32C1B248BD9F","Read Project Folder","projectfolder.read","54F9A13C-9EBC-41F7-81B5-F76B265495AA","4","","4","project,group-project",""
"AE99BE23-E9D8-4111-AA9E-358CF650638D","Assign to Users in Account/Department","project.assign.underaccountordepartment","07601893-B13B-4FEC-8D7D-B353C2FE3FEA","10","","2","","105891C8-B8F1-4DB4-AC3D-54146A99208E"
"19B9B066-F3D2-4E2B-B261-389DC18FDDC7","Read All Timeentry Report Under OU","te.read.all.report.underou","57241F67-E4BC-4E6F-98AD-33E1CB8D7365","3","","4","reports;reports,time-entry-report","9259E709-F935-4B94-9FEA-93C634AE2787"
"7C7EFD89-53C7-4EC9-A568-392FEE66598C","Read Role","role.read","8D09174B-4F11-4DA0-BA03-90130FFEC703","4","","4","role",""
"7FF0659C-499D-44E1-9F60-395C166760F5","Delete Department","department.delete","6083B25A-05D1-4C5C-8F8F-1056CB260C6A","5","","3","",""
"E22C700A-A232-4063-85FF-3A5F64246E74","Delete Project","project.delete","07601893-B13B-4FEC-8D7D-B353C2FE3FEA","3","","3","",""
"BE7701D8-F764-4D2C-B008-3C24B348FA2B","Read Project Folder Under Account","projectfolder.read.underaccount","54F9A13C-9EBC-41F7-81B5-F76B265495AA","8","","4","project,group-project","472809BE-8A7C-4B3F-AE6E-32C1B248BD9F"
"FEBD444B-077C-482B-BC40-3E725027CD9E","Read All User's Time Forecasts","teforecast.read.all.user.projection","57241F67-E4BC-4E6F-98AD-33E1CB8D7365","13","","4","reports;reports,time-entry-report-supervisor","42A74A17-251E-44AD-B377-D3D3586526AB"
"0DD4411B-1DBD-4D67-9003-3F66F5EBE44B","Read Any Users Time Entry","te.read.anyusers","0688C001-6554-46CA-BECD-C57964F87CCF","7","","4","time-entry-new;time-entry","D7C1D514-02A1-463C-8D43-5A995B559124"
"067B7450-F447-4BF5-AB1C-3FA1846D9B98","Read Subordinates Users","user.read.all.subordinate","E3496268-4D68-4FBB-93E6-A4B0511C1238","8","","4","users","93378FCB-CA80-4E03-8DB3-C95C437D2295"
"3940A5C5-AB36-40BA-95ED-41374EF1B34E","Delete OU","ou.delete","733E4F13-4ACD-49F1-AE26-87AD3B44335C","3","","3","",""
"8200A4BF-D9B6-4760-8F36-42510AB2053C","Update Time Entry Code","tec.update","52E66612-DD6C-43A3-9920-A34DFF802114","2","","2","",""
"5E6B0B7E-CCBB-4DC8-9087-428336557A2A","Create Project Folder","projectfolder.create","54F9A13C-9EBC-41F7-81B5-F76B265495AA","1","","1","",""
