"Id","IsDeleted","Name","APEmail","APAddress","APPhoneNumber","SoldById","PrimaryOuId","ClientSignDate","CreatedDate","CreatedById","City","State","ZipCode","IsRateVisible","StatusId","PrimaryAPEmail","InvoiceTypeId","BCCEmail","CCEmail","IsModified","ModifiedBy","EligibleForRateIncrease","Notes","UpdatedDate"
"06A3A5D4-F1CE-4473-8857-08DB0083F296","False","Gatemaster Technology Corporation Inc","sondra@gatemaster.com","5610 Ward Rd Suite 300","(949)228-4769","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2022-12-21 23:00:00.000000","2023-01-27 16:31:31.349324","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Arvada","CO","80002","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","sondra@gatemaster.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","DA6AC379-A8D7-4507-8182-08DAFF1D643C","0001-01-01 23:00:00","","2023-01-27 16:46:31.775103"
"272627EE-17C3-4D08-8858-08DB0083F296","False","NCF Corporate - Catalyst","ACCOUNTING@NOWCFO.COM, Jgreen@catalystlegalservices.com, ACCOUNTING@NOWCFO.COM","210 N 2100 W","(801)890-5351","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-03 23:00:00.000000","2023-01-27 16:36:39.453210","DA6AC379-A8D7-4507-8182-08DAFF1D643C","SLC","UT","84116","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","ACCOUNTING@NOWCFO.COM","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","DA6AC379-A8D7-4507-8182-08DAFF1D643C","0001-01-01 23:00:00","","2023-01-27 16:46:39.548522"
"1782ABDF-B8F8-431B-8859-08DB0083F296","False","New Ascent Inc","badmin@newascent.space","844 Notting Hill Lane","(410)855-4100","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-07 23:00:00.000000","2023-01-27 16:39:14.330207","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Arnold","MD","21012","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","badmin@newascent.space","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","DA6AC379-A8D7-4507-8182-08DAFF1D643C","0001-01-01 23:00:00","","2023-01-27 16:46:46.965126"
"136D4EB2-6784-46CA-885B-08DB0083F296","False","OFS Interiors","Jonas@ofsinteriors.com","453 S Holladay Blvd","(801)974-1970","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-11 23:00:00.000000","2023-01-27 16:45:05.299726","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Holladay","UT","84117","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Jonas@ofsinteriors.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","DA6AC379-A8D7-4507-8182-08DAFF1D643C","0001-01-01 23:00:00","","2023-01-27 16:47:58.977335"
"BE289861-3718-4AC7-885C-08DB0083F296","False","Scalability - Catalyst","ACCOUNTING@NOWCFO.COM, chris.arambula@nowcfo.com, mwest@getscalability.com","210 N 2100 W","(801)890-5351","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-11 00:00:00.000000","2023-01-27 16:53:49.604843","DA6AC379-A8D7-4507-8182-08DAFF1D643C","SLC","UT","84116","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","ACCOUNTING@NOWCFO.COM","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"6EDB720D-DF9C-4F43-C7EE-08DB02ECB4A0","False","SB Yab Co LLC","Brandon@slc-psych.com","7563 S FIELDSTONE LANE","(661)312-9335","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-24 00:00:00.000000","2023-01-30 22:51:30.738085","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Salt Lake City","UT","84121","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Brandon@slc-psych.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","","",""
"278BBB65-C01B-4D3F-2230-08DB03179FA0","False","GRACE NPC","pete@netgrace.org","4026 Wards Rd., Unit G1 #198","(651)747-6370","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-25 00:00:00.000000","2023-01-30 23:13:40.011763","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Lynchburg","VA","24502","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","pete@netgrace.org","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"848083F0-7994-4FB5-2231-08DB03179FA0","False","Lloyd Jennings","lloyd61984@yahoo.com","1785 E Blaine Ave","(801)541-2060","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-01-24 00:00:00.000000","2023-01-30 23:45:47.892631","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Salt Lake City","UT","84108","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","lloyd61984@yahoo.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"181B08D6-2644-4C84-154A-08DB0AD08D3C","False","CCI Network Services","brianp@ccicom.com","155 N 400 W, Suite 100","(801)924-9475","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-02 00:00:00.000000","2023-02-09 22:31:08.808580","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Salt Lake City","UT","84103","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","brianp@ccicom.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","False","00000000-0000-0000-0000-000000000000","","",""
"441F1402-923F-44BC-8A21-08DB1065AA67","False","Teriyaki Grill Lehi LLC - Catalyst","Priekeim78@gmail.com","1840 E. 11400 S","(801)556-8568","AB995316-AC5B-4F93-3F22-08DB008453BF","57C9E1AD-E9E1-4C03-EB30-08DAF28E3236","2023-02-14 23:00:00.000000","2023-02-16 21:35:03.959516","C73CFED1-5618-45BA-8186-08DAFF1D643C","Sandy","UT","84092","True","18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","Priekeim78@gmail.com","C55CE1CD-72B5-4186-15F8-08D7926CEEE1","","","True","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","0001-01-01 23:00:00","","2023-02-27 18:52:46.288576"
