"Id","IsDeleted","TaskId","Seconds","Hours","Minutes","TimerStartDate","TimerEndDate","CreatedById","IsPaused","IsStopped","Message","StatusId","Notes","AccountId","ProjectId","TimeEntryCodeId","DepartmentId","IsFavourite","ResumeDate","IsProjectLevel","IsManual","ICRate","Rate","CreatedBySupervisorId","UpdatedBySupervisorId","CreatedDate","InvoiceId","SubmittedDate","UpdatedDate","IsModified","ModifiedBy","MetaInfo","IsRemote"
"9826816D-5B13-4C61-ADE2-08DB03AC0E15","False","4A6DD117-C805-4B8E-9A10-8372C5A033DC","0","0","45","2023-01-30 17:58:20.000000","2023-01-30 17:58:20.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 17:58:20.841609","","2023-01-31 17:58:20.841610","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"361184A7-6382-411C-ADE4-08DB03AC0E15","False","9A0408D9-6F63-4CF6-8241-4018E87AD0DA","0","2","0","2023-01-28 18:00:02.000000","2023-01-28 18:00:02.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:00:02.742792","","2023-01-31 18:00:02.742792","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"C3B5F7E7-D412-41F0-ADEB-08DB03AC0E15","False","A742DBA0-DC9D-40AF-B4A6-377DDC4BFA31","0","2","30","2023-01-27 18:01:59.000000","2023-01-27 18:01:59.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:02:00.161635","","2023-01-31 18:02:00.161635","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"38B43ED4-F125-450A-ADED-08DB03AC0E15","False","A742DBA0-DC9D-40AF-B4A6-377DDC4BFA31","0","1","30","2023-01-27 18:04:09.000000","2023-01-27 18:04:09.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:02:48.386082","","2023-01-31 18:02:48.386083","2023-02-03 21:59:56.000000","True","AB995316-AC5B-4F93-3F22-08DB008453BF","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","True"
"EDE8BA33-5871-4184-ADEE-08DB03AC0E15","False","4A6DD117-C805-4B8E-9A10-8372C5A033DC","0","1","0","2023-01-27 18:03:15.000000","2023-01-27 18:03:15.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:03:15.931694","","2023-01-31 18:03:15.931694","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"3F832E73-5180-4A96-ADF3-08DB03AC0E15","False","FFFA6711-2AB2-4009-BD9E-9094E74DB14F","0","5","0","2023-01-26 18:08:55.000000","2023-01-26 18:08:55.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:08:55.953900","","2023-01-31 18:08:55.953900","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"E9A37C91-CD66-4933-ADF4-08DB03AC0E15","False","0CC4939B-ACBA-4EB9-BEB0-73C97352CC72","0","5","0","2023-01-25 18:10:56.000000","2023-01-25 18:10:56.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:10:57.627570","","2023-01-31 18:10:57.627570","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"541C086D-2842-46B6-ADF8-08DB03AC0E15","False","C8DBD142-DA0E-4DE1-BDD7-D5FCFED91D71","0","2","30","2023-01-27 18:12:30.000000","2023-01-27 18:12:30.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","278BBB65-C01B-4D3F-2230-08DB03179FA0","A2061B0B-107C-498B-8DB1-E2CBE3E36A49","09986B2F-46B3-49B7-E518-08DB0082D984","","False","","False","True","0.0","250.0","","","2023-01-31 18:12:30.717238","","2023-01-31 18:12:30.717238","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"4D049E05-C6B9-4923-ADFD-08DB03AC0E15","False","6D691E4D-3E02-4AEB-9B35-6C12BD836BE9","0","1","30","2023-01-31 18:15:01.000000","2023-01-31 18:15:01.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","848083F0-7994-4FB5-2231-08DB03179FA0","F31C5AC3-21C4-4D8C-B999-6BBB363B3083","A6FC1617-70B0-4EE5-E51A-08DB0082D984","","False","","False","True","0.0","200.0","","","2023-01-31 18:15:02.483968","","2023-01-31 18:15:02.483968","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"E0077F26-0383-4B98-ADFE-08DB03AC0E15","False","C066108D-51D5-4CD7-A806-5DD13A5AF549","0","0","30","2023-01-31 18:15:37.000000","2023-01-31 18:15:37.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","848083F0-7994-4FB5-2231-08DB03179FA0","F31C5AC3-21C4-4D8C-B999-6BBB363B3083","A6FC1617-70B0-4EE5-E51A-08DB0082D984","","False","","False","True","0.0","200.0","","","2023-01-31 18:15:38.688143","","2023-01-31 18:15:38.688143","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"97F21C09-04AA-4FA3-ADFF-08DB03AC0E15","False","644C66B7-2CFA-4AA7-9ACC-1D7F22B9B9EC","0","0","30","2023-01-31 18:16:09.000000","2023-01-31 18:16:09.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","848083F0-7994-4FB5-2231-08DB03179FA0","F31C5AC3-21C4-4D8C-B999-6BBB363B3083","A6FC1617-70B0-4EE5-E51A-08DB0082D984","","False","","False","True","0.0","200.0","","","2023-01-31 18:16:10.142520","","2023-01-31 18:16:10.142520","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"5CBC5259-ACF0-44E0-AE00-08DB03AC0E15","False","644C66B7-2CFA-4AA7-9ACC-1D7F22B9B9EC","0","0","30","2023-01-27 18:16:28.000000","2023-01-27 18:16:28.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","848083F0-7994-4FB5-2231-08DB03179FA0","F31C5AC3-21C4-4D8C-B999-6BBB363B3083","A6FC1617-70B0-4EE5-E51A-08DB0082D984","","False","","False","True","0.0","200.0","","","2023-01-31 18:16:29.376048","","2023-01-31 18:16:29.376049","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"92DAA7BB-33D2-4ABD-AE03-08DB03AC0E15","True","A59F7075-21BF-4CF4-BCCD-9F390A6CF0C2","0","1","0","2023-01-28 18:18:31.000000","2023-01-28 18:18:31.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","97F56926-75BB-4C01-90AB-3F70B3F4E1B1","","6EDB720D-DF9C-4F43-C7EE-08DB02ECB4A0","C0F3A67A-FB91-43EE-935A-6E1103BC8195","A6FC1617-70B0-4EE5-E51A-08DB0082D984","","False","","False","True","0.0","200.0","","","2023-01-31 18:18:31.580513","","2023-01-31 18:18:31.580513","2023-01-31 18:18:31.580513","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"938CCB24-2018-438E-AE04-08DB03AC0E15","False","82DAD160-4C90-4D59-B923-BFBB89106754","0","1","30","2023-01-31 21:54:11.000000","2023-01-31 21:54:11.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","6EDB720D-DF9C-4F43-C7EE-08DB02ECB4A0","C0F3A67A-FB91-43EE-935A-6E1103BC8195","A6FC1617-70B0-4EE5-E51A-08DB0082D984","","False","","False","True","0.0","200.0","","","2023-01-31 18:19:11.393708","","2023-01-31 18:19:11.393708","2023-02-03 21:59:56.000000","True","AB995316-AC5B-4F93-3F22-08DB008453BF","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"2ECBCC6A-8606-43B5-AE0A-08DB03AC0E15","False","642E3DF0-1609-4055-BE2B-08DB03AD09CC","0","2","0","2023-01-23 18:21:45.000000","2023-01-23 18:21:45.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","272627EE-17C3-4D08-8858-08DB0083F296","CB870CAD-4D9B-4686-99A1-6F3BC6E862EB","0B528A08-E4E1-41CD-E51D-08DB0082D984","","False","","False","True","0.0","110.0","","","2023-01-31 18:21:46.364393","","2023-01-31 18:21:46.364393","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"D7C827B8-F225-4130-AE2D-08DB03AC0E15","False","642E3DF0-1609-4055-BE2B-08DB03AD09CC","0","2","0","2023-01-24 18:57:37.000000","2023-01-24 18:57:37.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","272627EE-17C3-4D08-8858-08DB0083F296","CB870CAD-4D9B-4686-99A1-6F3BC6E862EB","0B528A08-E4E1-41CD-E51D-08DB0082D984","","False","","False","True","0.0","110.0","","","2023-01-31 18:57:38.000048","","2023-01-31 18:57:38.000048","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"8F2C1AF4-AF06-4B9B-AE2E-08DB03AC0E15","False","642E3DF0-1609-4055-BE2B-08DB03AD09CC","0","2","0","2023-01-23 18:57:55.000000","2023-01-23 18:57:55.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","272627EE-17C3-4D08-8858-08DB0083F296","CB870CAD-4D9B-4686-99A1-6F3BC6E862EB","0B528A08-E4E1-41CD-E51D-08DB0082D984","","False","","False","True","0.0","110.0","","","2023-01-31 18:57:55.549374","","2023-01-31 18:57:55.549374","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"BC53DBAF-D518-47D1-AE2F-08DB03AC0E15","False","642E3DF0-1609-4055-BE2B-08DB03AD09CC","0","2","0","2023-01-23 18:58:11.000000","2023-01-23 18:58:11.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","272627EE-17C3-4D08-8858-08DB0083F296","CB870CAD-4D9B-4686-99A1-6F3BC6E862EB","0B528A08-E4E1-41CD-E51D-08DB0082D984","","False","","False","True","0.0","110.0","","","2023-01-31 18:58:12.457248","","2023-01-31 18:58:12.457249","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
"9D346410-8ECB-4AE4-AE30-08DB03AC0E15","False","642E3DF0-1609-4055-BE2B-08DB03AD09CC","0","2","0","2023-01-25 18:58:25.000000","2023-01-25 18:58:25.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","272627EE-17C3-4D08-8858-08DB0083F296","CB870CAD-4D9B-4686-99A1-6F3BC6E862EB","0B528A08-E4E1-41CD-E51D-08DB0082D984","","False","","False","True","0.0","110.0","","","2023-01-31 18:58:25.528671","","2023-01-31 18:58:25.528671","2023-02-03 21:59:56.000000","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","False"
