"Table Name","Started At","End At","Description","Status","Total Records","Created On","Triggered Medium"
"account_assigneduser","2023-05-03, 05:53:37 AM","2023-05-03, 05:53:52 AM","Failed to extract data from Source Db.","Failed","0","2023-05-03","MANUAL"
"account_assigneduser","2023-05-03, 05:53:37 AM","2023-05-03, 05:53:58 AM","Failed to prepare final CSV file with header and source data.","Failed","0","2023-05-03","SCHEDULED"
"account_assigneduser","2023-05-03, 05:53:37 AM","2023-05-03, 05:54:00 AM","Failed to prepare final CSV file with header and source data.","Failed","0","2023-05-03","MANUAL"
"account_assigneduser","2023-05-03, 05:57:00 AM","2023-05-03, 05:57:22 AM","Failed to prepare final CSV file with header and source data.","Failed","0","2023-05-03","MANUAL"
"account_assigneduser","2023-05-03, 06:01:30 AM","2023-05-03, 06:02:11 AM","Transformation process completed.","Success","0","2023-05-03","MANUAL"
"account_assigneduser","2023-05-03, 06:05:23 AM","2023-05-03, 06:06:04 AM","Transformation process completed.","Success","0","2023-05-03","MANUAL"
"account_assigneduser","2023-05-03, 07:19:50 AM","2023-05-03, 07:20:35 AM","Transformation process completed.","Success","0","2023-05-03","SCHEDULED"
"account_engagement","2023-05-03, 09:32:09 AM","2023-05-03, 09:33:15 AM","Transformation process completed.","Success","30","2023-05-03","SCHEDULED"
"account_engagement","2023-05-03, 09:36:15 AM","2023-05-03, 09:37:11 AM","Transformation process completed.","Success","30","2023-05-03","MANUAL"
"account_engagement","2023-05-03, 11:03:03 AM","2023-05-03, 11:03:54 AM","Transformation process completed.","Success","30","2023-05-03","SCHEDULED"
