"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"AspNetUsers","Id","uniqueidentifier",""
"AspNetUsers","UserName","nvarchar","256.0"
"AspNetUsers","NormalizedUserName","nvarchar","256.0"
"AspNetUsers","Email","nvarchar","256.0"
"AspNetUsers","NormalizedEmail","nvarchar","256.0"
"AspNetUsers","EmailConfirmed","bit",""
"AspNetUsers","PasswordHash","nvarchar","-1.0"
"AspNetUsers","SecurityStamp","nvarchar","-1.0"
"AspNetUsers","ConcurrencyStamp","nvarchar","-1.0"
"AspNetUsers","PhoneNumber","nvarchar","-1.0"
"AspNetUsers","PhoneNumberConfirmed","bit",""
"AspNetUsers","TwoFactorEnabled","bit",""
"AspNetUsers","LockoutEnd","datetimeoffset",""
"AspNetUsers","LockoutEnabled","bit",""
"AspNetUsers","AccessFailedCount","int",""
"AspNetUsers","FirstName","nvarchar","50.0"
"AspNetUsers","LastName","nvarchar","50.0"
"AspNetUsers","IsSuperAdmin","bit",""
"AspNetUsers","IsDeleted","bit",""
"AspNetUsers","CompanyName","nvarchar","-1.0"
"AspNetUsers","Title","nvarchar","-1.0"
"AspNetUsers","ImagePath","nvarchar","-1.0"
"AspNetUsers","InternalEmployee","bit",""
"AspNetUsers","CreatedBy","uniqueidentifier",""
"AspNetUsers","SecondaryEmail","nvarchar","-1.0"
"AspNetUsers","SecondaryPhoneNumber","nvarchar","-1.0"
"AspNetUsers","SecondaryFirstName","nvarchar","-1.0"
"AspNetUsers","SecondaryLastName","nvarchar","-1.0"
"AspNetUsers","FireBaseUserId","nvarchar","-1.0"
"AspNetUsers","SupervisorId","uniqueidentifier",""
"AspNetUsers","CountryCode","nvarchar","10.0"
"AspNetUsers","Bio","nvarchar","-1.0"
"AspNetUsers","CreatedDate","datetime2",""
"AspNetUsers","IsDisabled","bit",""
"AspNetUsers","IsModified","bit",""
"AspNetUsers","ModifiedBy","uniqueidentifier",""
"AspNetUsers","LastModified","datetime2",""
"AspNetUsers","LastProfilePictureUpdate","datetime2",""
"AspNetUsers","AddedDate","datetime2",""
"AspNetUsers","DeletedDate","datetime2",""
"AspNetUsers","ExternalUserId","nvarchar","-1.0"
