"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"StrategicObjectiveActivityLogs","Id","uniqueidentifier",""
"StrategicObjectiveActivityLogs","IsDeleted","bit",""
"StrategicObjectiveActivityLogs","Message","nvarchar","-1.0"
"StrategicObjectiveActivityLogs","LogType","int",""
"StrategicObjectiveActivityLogs","CreatedAt","datetime2",""
"StrategicObjectiveActivityLogs","UpdatedAt","datetime2",""
"StrategicObjectiveActivityLogs","StrategicObjectiveId","uniqueidentifier",""
"StrategicObjectiveActivityLogs","CreatedById","uniqueidentifier",""
"StrategicObjectiveActivityLogs","ModifiedById","uniqueidentifier",""
"StrategicObjectiveActivityLogs","Misc","nvarchar","-1.0"
