"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"StrategicObjectives","Id","uniqueidentifier",""
"StrategicObjectives","IsDeleted","bit",""
"StrategicObjectives","Name","nvarchar","200.0"
"StrategicObjectives","Description","nvarchar","-1.0"
"StrategicObjectives","AccountId","uniqueidentifier",""
"StrategicObjectives","DepartmentId","uniqueidentifier",""
"StrategicObjectives","IsArchived","bit",""
"StrategicObjectives","CreatedAt","datetime2",""
"StrategicObjectives","UpdatedAt","datetime2",""
"StrategicObjectives","CreatedById","uniqueidentifier",""
"StrategicObjectives","ModifiedById","uniqueidentifier",""
"StrategicObjectives","EndDate","datetime2",""
"StrategicObjectives","StartDate","datetime2",""
