"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"UserRefreshTokens","UserId","uniqueidentifier",""
"UserRefreshTokens","Token","nvarchar","250.0"
"UserRefreshTokens","Id","uniqueidentifier",""
"UserRefreshTokens","Device","nvarchar","100.0"
"UserRefreshTokens","DeviceMetaData","nvarchar","100.0"
"UserRefreshTokens","UserInfo","nvarchar","-1.0"
"UserRefreshTokens","IsExpired","bit",""
"UserRefreshTokens","ExpiryDate","datetime2",""
"UserRefreshTokens","CreatedDate","datetime2",""
"UserRefreshTokens","UpdatedDate","datetime2",""
