"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"account","Id","uniqueidentifier",""
"account","IsDeleted","bit",""
"account","Name","nvarchar","100.0"
"account","APEmail","nvarchar","-1.0"
"account","APAddress","nvarchar","200.0"
"account","APPhoneNumber","nvarchar","50.0"
"account","SoldById","uniqueidentifier",""
"account","PrimaryOuId","uniqueidentifier",""
"account","ClientSignDate","datetime2",""
"account","CreatedDate","datetime2",""
"account","CreatedById","uniqueidentifier",""
"account","City","nvarchar","100.0"
"account","State","nvarchar","100.0"
"account","ZipCode","nvarchar","100.0"
"account","IsRateVisible","bit",""
"account","StatusId","uniqueidentifier",""
"account","PrimaryAPEmail","nvarchar","100.0"
"account","InvoiceTypeId","uniqueidentifier",""
"account","BCCEmail","nvarchar","-1.0"
"account","CCEmail","nvarchar","-1.0"
"account","IsModified","bit",""
"account","ModifiedBy","uniqueidentifier",""
"account","EligibleForRateIncrease","datetime2",""
"account","Notes","nvarchar","-1.0"
"account","UpdatedDate","datetime2",""
