"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"account_engagement","Id","uniqueidentifier",""
"account_engagement","IsDeleted","bit",""
"account_engagement","Name","nvarchar","100.0"
"account_engagement","AccountId","uniqueidentifier",""
"account_engagement","HomeMarket","uniqueidentifier",""
"account_engagement","EngagementTypeId","uniqueidentifier",""
"account_engagement","CreatedBy","uniqueidentifier",""
"account_engagement","BillingCycleStartDate","datetime2",""
"account_engagement","PaymentTerms","decimal",""
"account_engagement","FrequencyTypeId","uniqueidentifier",""
"account_engagement","LastBillRateUpdateDate","datetime2",""
"account_engagement","IsActive","bit",""
"account_engagement","IsModified","bit",""
"account_engagement","ModifiedBy","uniqueidentifier",""
