"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"commission","Id","uniqueidentifier",""
"commission","IsDeleted","bit",""
"commission","UserId","uniqueidentifier",""
"commission","OuId","uniqueidentifier",""
"commission","EngagementId","uniqueidentifier",""
"commission","CreatedById","uniqueidentifier",""
"commission","Percent","decimal",""
"commission","CreatedDate","datetime2",""
"commission","EndAt","datetime2",""
"commission","StartAt","datetime2",""
"commission","UpdatedAt","datetime2",""
"commission","IsModified","bit",""
"commission","ModifiedBy","uniqueidentifier",""
