"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"expense_log","Id","uniqueidentifier",""
"expense_log","IsDeleted","bit",""
"expense_log","Accountid","uniqueidentifier",""
"expense_log","DepartmentId","uniqueidentifier",""
"expense_log","ExpenseAmount","decimal",""
"expense_log","ExpenseDate","datetime2",""
"expense_log","Description","nvarchar","-1.0"
"expense_log","FilePath","nvarchar","-1.0"
"expense_log","CreatedById","uniqueidentifier",""
"expense_log","StatusId","uniqueidentifier",""
"expense_log","CreatedDate","datetime2",""
"expense_log","ExpenseTypeId","uniqueidentifier",""
"expense_log","InvoiceId","uniqueidentifier",""
"expense_log","SubmittedDate","datetime2",""
"expense_log","UpdatedDate","datetime2",""
"expense_log","IsModified","bit",""
"expense_log","ModifiedBy","uniqueidentifier",""
"expense_log","CreatedBySupervisorId","uniqueidentifier",""
"expense_log","UpdatedBySupervisorId","uniqueidentifier",""
"expense_log","MetaInfo","nvarchar","-1.0"
"expense_log","ContentType","nvarchar","-1.0"
"expense_log","FileName","nvarchar","-1.0"
