"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"organizationunit","Id","uniqueidentifier",""
"organizationunit","IsDeleted","bit",""
"organizationunit","Name","nvarchar","-1.0"
"organizationunit","RootId","uniqueidentifier",""
"organizationunit","CreatedBy","uniqueidentifier",""
"organizationunit","CreatedAt","datetime2",""
"organizationunit","Level","int",""
"organizationunit","OriginId","uniqueidentifier",""
"organizationunit","ImagePath","nvarchar","-1.0"
"organizationunit","TimeZone","nvarchar","100.0"
"organizationunit","TimeZoneGmt","nvarchar","10.0"
"organizationunit","Email","nvarchar","-1.0"
"organizationunit","CustomName","nvarchar","-1.0"
"organizationunit","IsModified","bit",""
"organizationunit","ModifiedBy","uniqueidentifier",""
