"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"project","Id","uniqueidentifier",""
"project","CreatedUserId","uniqueidentifier",""
"project","Name","nvarchar","100.0"
"project","Description","nvarchar","-1.0"
"project","StartDate","datetime2",""
"project","EndDate","datetime2",""
"project","CreatedAt","datetime2",""
"project","UpdatedAt","datetime2",""
"project","StatusId","uniqueidentifier",""
"project","IsDeleted","bit",""
"project","CompletePercentage","decimal",""
"project","IsWeighted","bit",""
"project","Password","nvarchar","-1.0"
"project","IsModified","bit",""
"project","ModifiedBy","uniqueidentifier",""
"project","IsArchived","bit",""
"project","HasProjectType","bit",""
"project","ProjectTypeId","uniqueidentifier",""
"project","BoardType","int",""
"project","CustomStatus","nvarchar","-1.0"
