"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"project_document","Id","uniqueidentifier",""
"project_document","ProjectId","uniqueidentifier",""
"project_document","Name","nvarchar","200.0"
"project_document","Description","nvarchar","-1.0"
"project_document","DocumentPath","nvarchar","-1.0"
"project_document","UploadedUserId","uniqueidentifier",""
"project_document","UploadedDate","datetime2",""
"project_document","IsDeleted","bit",""
"project_document","TaskId","uniqueidentifier",""
"project_document","NoteId","uniqueidentifier",""
"project_document","ProjectCommentId","uniqueidentifier",""
