"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"project_section","Id","uniqueidentifier",""
"project_section","CreatedBy","uniqueidentifier",""
"project_section","CreatedDate","datetime2",""
"project_section","IsModified","bit",""
"project_section","ModifiedBy","uniqueidentifier",""
"project_section","LastModifiedDate","datetime2",""
"project_section","IsDeleted","bit",""
"project_section","DeletedBy","uniqueidentifier",""
"project_section","DeletedDate","datetime2",""
"project_section","Row","int",""
"project_section","ProjectId","uniqueidentifier",""
"project_section","Name","nvarchar","150.0"
"project_section","IsDefault","bit",""
