"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"project_task","Id","uniqueidentifier",""
"project_task","AssignedUserId","uniqueidentifier",""
"project_task","Name","nvarchar","280.0"
"project_task","Description","nvarchar","-1.0"
"project_task","ProjectId","uniqueidentifier",""
"project_task","StartDate","datetime2",""
"project_task","EndDate","datetime2",""
"project_task","CreatedAt","datetime2",""
"project_task","UpdatedAt","datetime2",""
"project_task","StatusId","uniqueidentifier",""
"project_task","CompletePercent","int",""
"project_task","IsDeleted","bit",""
"project_task","CreatedById","uniqueidentifier",""
"project_task","ProjectWeight","decimal",""
"project_task","IsTernary","bit",""
"project_task","PriorityId","uniqueidentifier",""
"project_task","Row","int",""
"project_task","IsModified","bit",""
"project_task","ModifiedBy","uniqueidentifier",""
"project_task","CompletedDate","datetime2",""
"project_task","ProjectSectionId","uniqueidentifier",""
"project_task","CustomStatusId","int",""
