"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"project_task_timesheet","Id","uniqueidentifier",""
"project_task_timesheet","TaskId","uniqueidentifier",""
"project_task_timesheet","CreatedAt","datetime2",""
"project_task_timesheet","UpdatedAt","datetime2",""
"project_task_timesheet","Message","nvarchar","-1.0"
"project_task_timesheet","IsDeleted","bit",""
"project_task_timesheet","CreatedById","uniqueidentifier",""
"project_task_timesheet","CompletePercent","int",""
"project_task_timesheet","ProjectId","uniqueidentifier",""
"project_task_timesheet","PreviousPercent","int",""
"project_task_timesheet","IsModified","bit",""
"project_task_timesheet","ModifiedBy","uniqueidentifier",""
"project_task_timesheet","IsCreated","bit",""
"project_task_timesheet","IsDeletedNotication","bit",""
"project_task_timesheet","OtherUpdates","bit",""
"project_task_timesheet","IsAddedUser","bit",""
"project_task_timesheet","IsRemovedUser","bit",""
"project_task_timesheet","UsersHistory","nvarchar","-1.0"
"project_task_timesheet","ProgressMessage","nvarchar","-1.0"
"project_task_timesheet","ActivityLogType","int",""
