"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"project_template","Id","uniqueidentifier",""
"project_template","Name","nvarchar","50.0"
"project_template","Description","nvarchar","-1.0"
"project_template","CreatedAt","datetime2",""
"project_template","UpdatedAt","datetime2",""
"project_template","Format","nvarchar","-1.0"
"project_template","IsDeleted","bit",""
"project_template","CreatedUserId","uniqueidentifier",""
"project_template","IsModified","bit",""
"project_template","ModifiedBy","uniqueidentifier",""
