"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"qb_invoice","Id","uniqueidentifier",""
"qb_invoice","IsDeleted","bit",""
"qb_invoice","OrgUnitId","uniqueidentifier",""
"qb_invoice","AccountId","uniqueidentifier",""
"qb_invoice","PaidById","uniqueidentifier",""
"qb_invoice","InvoiceNumber","nvarchar","100.0"
"qb_invoice","InvoiceName","nvarchar","100.0"
"qb_invoice","Paid","bit",""
"qb_invoice","AmountPaid","decimal",""
"qb_invoice","AmountDue","decimal",""
"qb_invoice","PaymentMethod","nvarchar","100.0"
"qb_invoice","DueDate","datetime2",""
"qb_invoice","GeneratedDate","datetime2",""
"qb_invoice","PaidDate","datetime2",""
"qb_invoice","EndDate","datetime2",""
"qb_invoice","QBInvoiceId","nvarchar","20.0"
"qb_invoice","StartDate","datetime2",""
"qb_invoice","QBCustomerId","nvarchar","20.0"
"qb_invoice","ConsultantId","uniqueidentifier",""
"qb_invoice","InvoiceStatusId","uniqueidentifier",""
"qb_invoice","Message","nvarchar","-1.0"
"qb_invoice","InvoiceTypeId","uniqueidentifier",""
"qb_invoice","IsManual","bit",""
"qb_invoice","Hours","decimal",""
"qb_invoice","InvoiceDate","datetime2",""
