"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"qb_organizationunit","Id","uniqueidentifier",""
"qb_organizationunit","IsDeleted","bit",""
"qb_organizationunit","OrgUnitId","uniqueidentifier",""
"qb_organizationunit","QBAccountId","nvarchar","-1.0"
"qb_organizationunit","ClientId","nvarchar","-1.0"
"qb_organizationunit","ClientSecret","nvarchar","-1.0"
"qb_organizationunit","RealmId","nvarchar","100.0"
"qb_organizationunit","AccessToken","nvarchar","-1.0"
"qb_organizationunit","RefreshToken","nvarchar","-1.0"
"qb_organizationunit","TokenIssuedDate","datetime2",""
