"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"support_article","Id","uniqueidentifier",""
"support_article","IsDeleted","bit",""
"support_article","Title","nvarchar","-1.0"
"support_article","ArticleBody","nvarchar","-1.0"
"support_article","CreatedById","uniqueidentifier",""
"support_article","CreatedDate","datetime2",""
"support_article","UpdatedDate","datetime2",""
"support_article","IsPublished","bit",""
"support_article","IsModified","bit",""
"support_article","ModifiedBy","uniqueidentifier",""
