"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"support_category","Id","uniqueidentifier",""
"support_category","IsDeleted","bit",""
"support_category","Name","nvarchar","-1.0"
"support_category","CreatedDate","datetime2",""
"support_category","UpdatedDate","datetime2",""
"support_category","CreatedById","uniqueidentifier",""
"support_category","Color","nvarchar","-1.0"
"support_category","SupportArticleId","uniqueidentifier",""
"support_category","IsModified","bit",""
"support_category","ModifiedBy","uniqueidentifier",""
