"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"timeentry","Id","uniqueidentifier",""
"timeentry","IsDeleted","bit",""
"timeentry","TaskId","uniqueidentifier",""
"timeentry","Seconds","int",""
"timeentry","Hours","int",""
"timeentry","Minutes","int",""
"timeentry","TimerStartDate","datetime2",""
"timeentry","TimerEndDate","datetime2",""
"timeentry","CreatedById","uniqueidentifier",""
"timeentry","IsPaused","bit",""
"timeentry","IsStopped","bit",""
"timeentry","Message","nvarchar","-1.0"
"timeentry","StatusId","uniqueidentifier",""
"timeentry","Notes","nvarchar","-1.0"
"timeentry","AccountId","uniqueidentifier",""
"timeentry","ProjectId","uniqueidentifier",""
"timeentry","TimeEntryCodeId","uniqueidentifier",""
"timeentry","DepartmentId","uniqueidentifier",""
"timeentry","IsFavourite","bit",""
"timeentry","ResumeDate","datetime2",""
"timeentry","IsProjectLevel","bit",""
"timeentry","IsManual","bit",""
"timeentry","ICRate","decimal",""
"timeentry","Rate","decimal",""
"timeentry","CreatedBySupervisorId","uniqueidentifier",""
"timeentry","UpdatedBySupervisorId","uniqueidentifier",""
"timeentry","CreatedDate","datetime2",""
"timeentry","InvoiceId","uniqueidentifier",""
"timeentry","SubmittedDate","datetime2",""
"timeentry","UpdatedDate","datetime2",""
"timeentry","IsModified","bit",""
"timeentry","ModifiedBy","uniqueidentifier",""
"timeentry","MetaInfo","nvarchar","-1.0"
"timeentry","IsRemote","bit",""
