"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"timeentry_forecast","Id","uniqueidentifier",""
"timeentry_forecast","IsDeleted","bit",""
"timeentry_forecast","AccountId","uniqueidentifier",""
"timeentry_forecast","DepartmentId","uniqueidentifier",""
"timeentry_forecast","TeCodeId","uniqueidentifier",""
"timeentry_forecast","Hours","decimal",""
"timeentry_forecast","UserId","uniqueidentifier",""
"timeentry_forecast","CreatedDate","datetime2",""
"timeentry_forecast","ForeCastDate","datetime2",""
"timeentry_forecast","UpdateDated","datetime2",""
