"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"user_account","Id","uniqueidentifier",""
"user_account","Name","nvarchar","100.0"
"user_account","APAddress","nvarchar","200.0"
"user_account","APEmail","nvarchar","-1.0"
"user_account","PrimaryAPEmail","nvarchar","100.0"
"user_account","City","nvarchar","100.0"
"user_account","State","nvarchar","100.0"
"user_account","ZipCode","nvarchar","100.0"
"user_account","IsRateVisible","bit",""
"user_account","DirectlyAssignedUserIds","nvarchar","-1.0"
"user_account","DirectlyAssignedUsers","nvarchar","-1.0"
"user_account","AccountAccessUserIds","nvarchar","-1.0"
"user_account","AccountAccessUsers","nvarchar","-1.0"
"user_account","InvoiceTypeId","uniqueidentifier",""
"user_account","ProjectCount","int",""
"user_account","OrganizationUnitId","uniqueidentifier",""
"user_account","OrganizationUnitName","nvarchar","-1.0"
"user_account","CreatedDate","datetime2",""
"user_account","UpdatedDate","datetime2",""
"user_account","LastTimeEntry","datetime2",""
"user_account","TimeEntryTotalHours","decimal",""
"user_account","StatusId","uniqueidentifier",""
"user_account","Status","nvarchar","-1.0"
"user_account","UserCount","int",""
"user_account","CreatedBy","uniqueidentifier",""
"user_account","UpdatedBy","uniqueidentifier",""
"user_account","GroupAssignedUserIds","nvarchar","-1.0"
"user_account","GroupAssignedUsers","nvarchar","-1.0"
"user_account","ProjectAssignedUserIds","nvarchar","-1.0"
"user_account","ProjectAssignedUsers","nvarchar","-1.0"
"user_account","SoldBy","uniqueidentifier",""
